key	ES	EN
ui_text_1054	0031-LFX	0031-LFX
ui_text_1055	0032-LFX	0032-LFX
ui_text_1056	0033-LFX	0033-LFX
ui_text_1057	0034-LFX	0034-LFX
ui_text_1058	0035-LFX	0035-LFX
ui_text_1059	0036-LFX	0036-LFX
ui_text_1060	0037-LFX	0037-LFX
ui_text_1061	0038-LFX	0038-LFX
ui_text_1062	0039-LFX	0039-LFX
ui_text_1063	0040-LFX	0040-LFX
ui_text_1064	122 km	122 km
ui_text_1065	135 km	135 km
ui_text_1066	155 km	155 km
ui_text_1067	169 km	169 km
ui_text_1068	173 km	173 km
ui_text_1069	196 km	196 km
ui_text_1070	205 km	205 km
ui_text_1071	209 km	209 km
ui_text_1072	MODELO-EV	MODELO-EV
ui_text_1073	PA00	PA00
ui_text_1074	STANDARD-ELECTRIC	STANDARD-ELECTRIC
ui_text_1075	Veh_1	Veh_1
ui_text_1076	Veh_10	Veh_10
ui_text_1077	Veh_11	Veh_11
ui_text_1078	Veh_12	Veh_12
ui_text_1079	Veh_13	Veh_13
ui_text_1080	Veh_14	Veh_14
ui_text_1081	Veh_15	Veh_15
ui_text_1082	Veh_2	Veh_2
ui_text_1083	Veh_3	Veh_3
ui_text_1084	Veh_4	Veh_4
ui_text_1085	Veh_5	Veh_5
ui_text_1086	Veh_6	Veh_6
ui_text_1087	Veh_7	Veh_7
ui_text_1088	Veh_8	Veh_8
ui_text_1089	Veh_9	Veh_9
ui_text_1090	battery_charging_full-fill	battery_charging_full-fill
ui_text_1091	0041-LFX	0041-LFX
ui_text_1092	0042-LFX	0042-LFX
ui_text_1093	0043-LFX	0043-LFX
ui_text_1094	0044-LFX	0044-LFX
ui_text_1095	0045-LFX	0045-LFX
ui_text_1096	96 km	96 km
ui_text_1097	Consultant  comenzó a editar la Celda de Roster a las 08:25	Consultant started editing the Roster Cell at 08:25
ui_text_1098	Limpieza	Cleaning
ui_text_1099	Pinchazo	Puncture
ui_text_1100	Veh_16	Veh_16
